Serialnumber;Postal code;Measurement source type;Measurement date;Measurement time;Unit;Measurement value;Correction;House type;Residents;Energy label;Solar panels
1011216;7548BM;electricity;7-12-2020;01:00:00;kWh;0,2916;;detachedHouse;3;c;12
1011216;7548BM;electricity;7-12-2020;02:00:00;kWh;0,2835;;detachedHouse;3;c;12
1011216;7548BM;electricity;7-12-2020;03:00:00;kWh;0,2784;;detachedHouse;3;c;12
1011216;7548BM;electricity;7-12-2020;04:00:00;kWh;0,2519;;detachedHouse;3;c;12
1011216;7548BM;electricity;7-12-2020;05:00:00;kWh;0,2594;;detachedHouse;3;c;12
1011216;7548BM;electricity;7-12-2020;06:00:00;kWh;0,2904;;detachedHouse;3;c;12
1011216;7548BM;electricity;7-12-2020;07:00:00;kWh;0,281;;detachedHouse;3;c;12
1011216;7548BM;electricity;7-12-2020;08:00:00;kWh;0,6843;;detachedHouse;3;c;12
1011216;7548BM;electricity;7-12-2020;09:00:00;kWh;0,307;;detachedHouse;3;c;12
1011216;7548BM;electricity;7-12-2020;10:00:00;kWh;0,2533;;detachedHouse;3;c;12
1011216;7548BM;electricity;7-12-2020;11:00:00;kWh;0,902;;detachedHouse;3;c;12
1011216;7548BM;electricity;7-12-2020;12:00:00;kWh;1,1567;;detachedHouse;3;c;12
1011216;7548BM;electricity;7-12-2020;13:00:00;kWh;0,9518;;detachedHouse;3;c;12
1011216;7548BM;electricity;7-12-2020;14:00:00;kWh;0,7467;;detachedHouse;3;c;12
1011216;7548BM;electricity;7-12-2020;15:00:00;kWh;0,3112;;detachedHouse;3;c;12
1011216;7548BM;electricity;7-12-2020;16:00:00;kWh;0,5407;;detachedHouse;3;c;12
1011216;7548BM;electricity;7-12-2020;17:00:00;kWh;0,6823;;detachedHouse;3;c;12
1011216;7548BM;electricity;7-12-2020;18:00:00;kWh;1,3336;;detachedHouse;3;c;12
1011216;7548BM;electricity;7-12-2020;19:00:00;kWh;0,6334;;detachedHouse;3;c;12
1011216;7548BM;electricity;7-12-2020;20:00:00;kWh;0,4638;;detachedHouse;3;c;12
1011216;7548BM;electricity;7-12-2020;21:00:00;kWh;0,5067;;detachedHouse;3;c;12
1011216;7548BM;electricity;7-12-2020;22:00:00;kWh;1,0393;;detachedHouse;3;c;12
1011216;7548BM;electricity;7-12-2020;23:00:00;kWh;0,3598;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;00:00:00;kWh;0,3194;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;01:00:00;kWh;0,2618;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;02:00:00;kWh;0,2371;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;03:00:00;kWh;0,2224;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;04:00:00;kWh;0,2382;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;05:00:00;kWh;0,2226;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;06:00:00;kWh;0,2552;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;07:00:00;kWh;0,3362;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;08:00:00;kWh;0,3574;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;09:00:00;kWh;0,3204;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;10:00:00;kWh;0,8688;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;11:00:00;kWh;0,4589;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;12:00:00;kWh;0,696;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;13:00:00;kWh;0,4461;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;14:00:00;kWh;0,4918;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;15:00:00;kWh;0,7529;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;16:00:00;kWh;2,1727;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;17:00:00;kWh;1,3291;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;18:00:00;kWh;0,5513;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;19:00:00;kWh;0,7088;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;20:00:00;kWh;0,6773;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;21:00:00;kWh;0,5982;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;22:00:00;kWh;0,3284;;detachedHouse;3;c;12
1011216;7548BM;electricity;8-12-2020;23:00:00;kWh;0,3683;;detachedHouse;3;c;12
1011216;7548BM;electricity;9-12-2020;00:00:00;kWh;0,2981;;detachedHouse;3;c;12
1011216;7548BM;electricity;9-12-2020;01:00:00;kWh;0,2695;;detachedHouse;3;c;12
1011216;7548BM;electricity;9-12-2020;02:00:00;kWh;0,2641;;detachedHouse;3;c;12
1011216;7548BM;electricity;9-12-2020;03:00:00;kWh;0,2494;;detachedHouse;3;c;12
1011216;7548BM;electricity;9-12-2020;04:00:00;kWh;0,2348;;detachedHouse;3;c;12
1011216;7548BM;electricity;9-12-2020;05:00:00;kWh;0,2408;;detachedHouse;3;c;12
1011216;7548BM;electricity;9-12-2020;06:00:00;kWh;0,2671;;detachedHouse;3;c;12
1011216;7548BM;electricity;9-12-2020;07:00:00;kWh;0,2553;;detachedHouse;3;c;12
1011216;7548BM;electricity;9-12-2020;08:00:00;kWh;0,5933;;detachedHouse;3;c;12
1011216;7548BM;electricity;9-12-2020;09:00:00;kWh;0,5665;;detachedHouse;3;c;12
1011216;7548BM;electricity;9-12-2020;10:00:00;kWh;0,3098;;detachedHouse;3;c;12
1011216;7548BM;electricity;9-12-2020;11:00:00;kWh;0,2269;;detachedHouse;3;c;12
1011216;7548BM;electricity;9-12-2020;12:00:00;kWh;1,3068;;detachedHouse;3;c;12
1011216;7548BM;electricity;9-12-2020;13:00:00;kWh;0,8053;;detachedHouse;3;c;12
1011216;7548BM;electricity;9-12-2020;14:00:00;kWh;0,4488;;detachedHouse;3;c;12
1011216;7548BM;electricity;9-12-2020;15:00:00;kWh;1,3942;;detachedHouse;3;c;12
